"Month","State.Postal.Code","Population.Staying.at.Home","Population.Not.Staying.at.Home","Number.of.Trips","Number.of.Trips.1","Number.of.Trips.1.3","Number.of.Trips.3.5","Number.of.Trips.5.10","Number.of.Trips.10.25","Number.of.Trips.25.50","Number.of.Trips.50.100","Number.of.Trips.100.250","Number.of.Trips.250.500","Number.of.Trips.500","year"
"192",4,"PA",81206859,301830591,1620155722,377478532,413954428,204669794,263570405,255543262,70207713,21262507,10128915,2181502,1158664,2019
"193",4,"RI",6394975,25227515,135996262,29341670,33731006,17560934,23132336,23588850,6708358,1128273,367981,97413,339441,2019
"194",4,"SC",25459670,126597820,641251266,132620226,165901657,82439988,104249663,108596346,32469341,9937080,3641356,816640,578969,2019
"195",4,"SD",5282289,21103761,127922884,32559314,36296098,15387970,16409586,14924768,6854908,3634729,1559941,196562,99008,2019
"196",4,"TN",37307015,165172525,901998527,186680712,230289346,115810529,148691282,155239174,44703137,13219217,5125295,1513956,725879,2019
"197",4,"TX",140129369,718293961,3531761042,854364515,893619647,410926727,525491581,555193539,193280719,63947379,27205576,5187591,2543768,2019
"198",4,"UT",20163822,74379408,447519025,108685218,123711807,58425835,65335471,56675992,20534141,6625056,5671350,1132592,721563,2019
"199",4,"VA",47686663,207062987,1157694628,273360774,296021949,144561761,183982193,181923849,54565367,13951014,5671323,1946309,1710089,2019
"200",4,"VT",4180754,14550766,78461329,14575344,20094235,11344770,12543536,12938963,4910255,1180325,514927,112959,246015,2019
"201",4,"WA",45036633,180340167,992115595,221319958,275322958,132165032,155047740,143806154,44144013,12341591,5404369,738405,1825375,2019
"202",4,"WI",32504872,141369128,798213854,160784239,189901093,95989227,135270830,143283392,50071148,14928315,5690954,1077606,1217050,2019
"203",4,"WV",12092219,41917081,217126764,45389712,57451470,28810510,34885398,33008396,11646758,3678186,1749104,298142,209088,2019
"204",4,"WY",3918714,13360386,91465519,23359708,27605469,12702390,8892458,7160848,6104407,4054550,1364014,139498,82177,2019
